Timestamp,quant,less in
3/24/2023 10:04:09,8,Bonesless
4/2/2023 21:53:04,8,Bone In
4/2/2023 22:23:40,10,Bone In
4/2/2023 22:25:56,20,Bone In
4/2/2023 22:26:17,4,Bone In
4/2/2023 22:27:05,8,Boneless
4/2/2023 22:28:12,4,Boneless
4/2/2023 22:29:34,4,Boneless
4/2/2023 22:29:52,6,Boneless
4/2/2023 22:41:44,5,Bone In
4/2/2023 22:53:44,12,Bone In
4/2/2023 23:00:33,12,Bone In
4/2/2023 23:04:50,6,Bone In
4/2/2023 23:05:09,5,Boneless
4/2/2023 23:06:16,8,Boneless
4/2/2023 23:06:28,8,Bone In
4/2/2023 23:06:39,6,Bone In
4/2/2023 23:06:49,10,Bone In
4/2/2023 23:07:57,8,Bone In
4/2/2023 23:08:43,6,Bone In
4/2/2023 23:11:35,6,Bone In
4/2/2023 23:19:18,8,Bone In
4/2/2023 23:20:12,10,Bone In
4/2/2023 23:20:19,7,Bone In
4/2/2023 23:20:32,8,Bone In
4/2/2023 23:21:16,15,Bone In
4/2/2023 23:26:06,20,Bone In
4/2/2023 23:29:04,6,Bone In
4/2/2023 23:40:53,8,Bone In
4/2/2023 23:45:21,25,Bone In
4/3/2023 0:03:05,10,Bone In
4/3/2023 0:54:04,8,Bone In
4/3/2023 1:18:44,10,Bone In
4/3/2023 1:21:04,6,Boneless
4/3/2023 2:36:54,32,Bone In
4/3/2023 3:35:24,8,Bone In
4/3/2023 3:35:27,8,Bone In
4/3/2023 3:35:39,6,Boneless
4/3/2023 3:35:50,4,Bone In
4/3/2023 3:36:28,6,Bone In
4/3/2023 3:36:52,10,Bone In
4/3/2023 3:37:00,10,Bone In
4/3/2023 3:37:09,8,Bone In
4/3/2023 3:37:16,8,Bone In
4/3/2023 3:37:20,6,Bone In
4/3/2023 3:37:25,6,Boneless
4/3/2023 3:37:30,4,Boneless
4/3/2023 3:37:33,4,Bone In
4/3/2023 3:37:36,4,Bone In
4/3/2023 3:37:40,4,Bone In
4/3/2023 3:37:44,6,Bone In
4/3/2023 3:37:47,6,Bone In
4/3/2023 3:37:51,6,Bone In
4/3/2023 3:37:55,6,Boneless
4/3/2023 3:38:00,8,Bone In
4/3/2023 3:38:03,8,Boneless
4/3/2023 3:38:07,8,Bone In
4/3/2023 3:38:10,8,Bone In
4/3/2023 3:38:14,12,Bone In
4/3/2023 3:38:19,12,Bone In
4/3/2023 3:38:22,12,Bone In
4/3/2023 3:38:26,12,Boneless
4/3/2023 3:38:32,10,Boneless
4/3/2023 3:38:37,10,Bone In
4/3/2023 3:40:12,10,Bone In
4/3/2023 3:40:17,5,Bone In
4/3/2023 3:40:20,5,Bone In
4/3/2023 3:40:26,5,Bone In
4/3/2023 3:40:29,5,Boneless
4/3/2023 3:40:33,6,Boneless
4/3/2023 3:40:36,6,Bone In
4/3/2023 3:40:40,4,Boneless
4/3/2023 3:40:43,4,Boneless
4/3/2023 3:40:48,4,Bone In
4/3/2023 3:40:52,7,Boneless
4/3/2023 3:40:56,8,Boneless
4/3/2023 3:40:59,6,Bone In
4/3/2023 3:41:03,8,Bone In
4/3/2023 3:41:08,7,Bone In
4/3/2023 3:41:11,7,Bone In
4/3/2023 3:41:15,6,Bone In
4/3/2023 3:41:19,7,Boneless
4/3/2023 3:41:24,10,Bone In
4/3/2023 3:41:28,10,Bone In
4/3/2023 3:41:32,12,Bone In
4/3/2023 3:41:42,14,Bone In
4/3/2023 3:41:46,14,Bone In
4/3/2023 3:41:50,12,Bone In
4/3/2023 3:41:54,13,Boneless
4/3/2023 3:41:57,13,Bone In
4/3/2023 3:42:01,13,Bone In
4/3/2023 3:42:04,13,Bone In
4/3/2023 3:42:08,9,Bone In
4/3/2023 3:42:11,9,Bone In
4/3/2023 3:42:15,9,Boneless
4/3/2023 3:42:18,9,Bone In
4/3/2023 3:42:22,9,Boneless
4/3/2023 3:42:27,7,Bone In
4/3/2023 3:42:38,10,Boneless
4/3/2023 3:42:42,10,Bone In
4/3/2023 3:42:45,10,Bone In
4/3/2023 3:42:50,12,Bone In
4/3/2023 3:42:55,8,Bone In
4/3/2023 3:43:00,9,Bone In
4/3/2023 3:43:03,5,Boneless
4/3/2023 3:43:06,5,Bone In
4/3/2023 3:43:10,5,Bone In
4/3/2023 3:43:14,6,Bone In
4/3/2023 3:43:18,8,Bone In
4/3/2023 3:43:22,7,Boneless
4/3/2023 3:43:26,7,Bone In
4/3/2023 3:43:37,5,Boneless
4/3/2023 3:43:52,12,Bone In
4/3/2023 3:43:56,10,Bone In
4/3/2023 3:43:59,10,Boneless
4/3/2023 3:44:37,11,Bone In
4/3/2023 3:44:41,11,Boneless
4/3/2023 3:44:46,11,Bone In
4/3/2023 3:44:50,11,Bone In
4/3/2023 3:44:53,11,Bone In
4/3/2023 3:44:58,5,Bone In
4/3/2023 3:45:02,5,Boneless
4/3/2023 3:45:06,4,Boneless
4/3/2023 3:45:09,4,Boneless
4/3/2023 3:45:13,4,Bone In
4/3/2023 3:45:18,7,Bone In
4/3/2023 3:45:23,4,Bone In
4/3/2023 3:46:51,7,Bone In
4/3/2023 3:46:55,11,Bone In
4/3/2023 3:47:00,6,Boneless
4/3/2023 3:47:04,6,Boneless
4/3/2023 3:47:11,6,Boneless
4/3/2023 3:47:17,5,Boneless
4/3/2023 3:47:20,5,Bone In
4/3/2023 3:47:24,7,Bone In
4/3/2023 3:47:28,6,Bone In
4/3/2023 3:47:33,6,Bone In
4/3/2023 3:47:37,9,Bone In
4/3/2023 3:47:40,9,Boneless
4/3/2023 3:47:43,9,Bone In
4/3/2023 3:47:47,9,Bone In
4/3/2023 3:47:51,11,Boneless
4/3/2023 3:47:55,11,Bone In
4/3/2023 3:48:11,8,Bone In
4/3/2023 3:48:14,8,Bone In
4/3/2023 3:48:17,8,Boneless
4/3/2023 3:48:21,8,Bone In
4/3/2023 3:48:24,8,Bone In
4/3/2023 3:48:27,8,Bone In
4/3/2023 3:48:30,8,Bone In
4/3/2023 3:48:33,8,Bone In
4/3/2023 3:48:36,8,Bone In
4/3/2023 3:48:40,2,Bone In
4/3/2023 3:48:44,2,Boneless
4/3/2023 3:48:47,2,Bone In
4/3/2023 3:48:50,3,Bone In
4/3/2023 3:48:53,3,Bone In
4/3/2023 3:48:58,3,Boneless
4/3/2023 3:49:21,3,Bone In